"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000217655.1","GCA_030436145.1"
"group_659","hypothetical protein","hypothetical protein","2","2","1","1","761","","","","608","608","608","LIHGCB_00671","OBIBPL_00670"
"group_66","hypothetical protein","hypothetical protein","2","2","1","1","324","","","","1319","1319","1319","LIHGCB_00206","OBIBPL_00209"
"group_660","hypothetical protein","hypothetical protein","2","2","1","1","577","","","","704","704","704","LIHGCB_00473","OBIBPL_00470"
"Bifunctional phosphoribulokinase/uridine kinase","","Bifunctional phosphoribulokinase/uridine kinase","2","2","1","1","755","","","","1655","1655","1655","LIHGCB_00663","OBIBPL_00662"
"Elongation factor P","","Elongation factor P","2","2","1","1","622","","","","563","563","563","LIHGCB_00524","OBIBPL_00521"
"group_663","hypothetical protein","hypothetical protein","2","2","1","1","183","","","","434","434","434","LIHGCB_00060","OBIBPL_00060"
"Nucleoside diphosphate kinase","","Nucleoside diphosphate kinase","2","2","1","1","33","","","","449","449","449","LIHGCB_00999","OBIBPL_00996"
"group_665","hypothetical protein","hypothetical protein","2","2","1","1","337","","","","176","176","176","LIHGCB_00219","OBIBPL_00222"
"Ribose/galactose/methyl galactoside import ATP-binding protein","","Ribose/galactose/methyl galactoside import ATP-binding protein","2","2","1","1","772","","","","1490","1490","1490","LIHGCB_00683","OBIBPL_00682"
"Uncharacterized protein TP_0564","","Uncharacterized protein TP_0564","2","2","1","1","661","","","","2036","2036","2036","LIHGCB_00564","OBIBPL_00561"
"DNA ligase","","DNA ligase","2","2","1","1","726","","","","2471","2471","2471","LIHGCB_00631","OBIBPL_00629"
"Uncharacterized protein TP_0752","","Uncharacterized protein TP_0752","2","2","1","1","836","","","","1115","1115","1115","LIHGCB_00749","OBIBPL_00748"
"Uncharacterized protein TP_0930","","Uncharacterized protein TP_0930","2","2","1","1","111","","","","1706","1706","1706","LIHGCB_00918","OBIBPL_00916"
"group_670","hypothetical protein","hypothetical protein","2","2","1","1","198","","","","2153","2153","2153","LIHGCB_00075","OBIBPL_00075"
"group_671","lysM","LysM domain-containing protein","2","2","1","1","277","","","","1115","1115","1115","LIHGCB_00158","OBIBPL_00161"
"group_672","hypothetical protein","hypothetical protein","2","2","1","1","45","","","","1388","1388","1388","LIHGCB_00987","OBIBPL_00984"
"group_673","hypothetical protein","hypothetical protein","2","2","1","1","573","","","","626","626","626","LIHGCB_00469","OBIBPL_00466"
"group_674","hypothetical protein","hypothetical protein","2","2","1","1","400","","","","2573","2573","2573","LIHGCB_00294","OBIBPL_00296"
"group_675","hypothetical protein","hypothetical protein","2","2","1","1","462","","","","359","359","359","LIHGCB_00378","OBIBPL_00375"
"Glycosyltransferase","","Glycosyltransferase","2","2","1","1","399","","","","965","965","965","LIHGCB_00293","OBIBPL_00295"
"group_677","hypothetical protein","hypothetical protein","2","2","1","1","513","","","","1115","1115","1115","LIHGCB_00324","OBIBPL_00322"
"group_678","hypothetical protein","hypothetical protein","2","2","1","1","393","","","","884","884","884","LIHGCB_00287","OBIBPL_00289"
"group_679","hypothetical protein","hypothetical protein","2","2","1","1","194","","","","878","878","878","LIHGCB_00071","OBIBPL_00071"
"group_68","hypothetical protein","hypothetical protein","2","2","1","1","139","","","","1232","1232","1232","LIHGCB_00010","OBIBPL_00010"
"group_680","V-type ATP synthase beta chain","V-type ATP synthase beta chain","2","2","1","1","625","","","","1442","1442","1442","LIHGCB_00527","OBIBPL_00524"
"xerC","","Tyrosine recombinase XerC","2","2","1","1","444","","","","893","893","893","LIHGCB_00396","OBIBPL_00393"
"Acyltransferase","","Acyltransferase","2","2","1","1","476","","","","803","803","803","LIHGCB_00363","OBIBPL_00361"
"folD","","Bifunctional protein FolD","2","2","1","1","817","","","","1025","1025","1025","LIHGCB_00730","OBIBPL_00729"
"S1 motif domain-containing protein","","S1 motif domain-containing protein","2","2","1","1","116","","","","2339","2339","2339","LIHGCB_00912","OBIBPL_00910"
"17 kDa lipoprotein","","17 kDa lipoprotein","2","2","1","1","537","","","","470","470","470","LIHGCB_00434","OBIBPL_00431"
"Ribonucleoside-diphosphate reductase","","Ribonucleoside-diphosphate reductase","2","2","1","1","35","","","","2537","2537","2537","LIHGCB_00997","OBIBPL_00994"
"rsuA","","RsuA family pseudouridine synthase","2","2","1","1","561","","","","851","851","851","LIHGCB_00458","OBIBPL_00455"
"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","2","2","1","1","453","","","","1379","1379","1379","LIHGCB_00387","OBIBPL_00384"
"Glutamate 5-kinase","","Glutamate 5-kinase","2","2","1","1","487","","","","890","890","890","LIHGCB_00352","OBIBPL_00350"
"Haloacid dehalogenase","","Haloacid dehalogenase","2","2","1","1","545","","","","803","803","803","LIHGCB_00442","OBIBPL_00439"
"group_690","hypothetical protein","hypothetical protein","2","2","1","1","443","","","","410","410","410","LIHGCB_00397","OBIBPL_00394"
"yidC","","Membrane protein insertase YidC","2","2","1","1","93","","","","1868","1868","1868","LIHGCB_00937","OBIBPL_00935"
"flhA","","Flagellar biosynthesis protein FlhA","2","2","1","1","799","","","","2123","2123","2123","LIHGCB_00712","OBIBPL_00711"
"Aspartate--ammonia ligase","","Aspartate--ammonia ligase","2","2","1","1","653","","","","992","992","992","LIHGCB_00556","OBIBPL_00553"
"group_694","hypothetical protein","hypothetical protein","2","2","1","1","407","","","","773","773","773","LIHGCB_00301","OBIBPL_00303"
"group_695","hypothetical protein","hypothetical protein","2","2","1","1","488","","","","1286","1286","1286","LIHGCB_00351","OBIBPL_00349"
"Amino acid ABC transporter, permease protein","","Amino acid ABC transporter, permease protein","2","2","1","1","381","","","","1367","1367","1367","LIHGCB_00271","OBIBPL_00273"
"group_697","hypothetical protein","hypothetical protein","2","2","1","1","158","","","","800","800","800","LIHGCB_00035","OBIBPL_00035"
"Large ribosomal subunit protein uL3","","Large ribosomal subunit protein uL3","2","2","1","1","305","","","","626","626","626","LIHGCB_00187","OBIBPL_00190"
"group_699","hypothetical protein","hypothetical protein","2","2","1","1","765","","","","923","923","923","LIHGCB_00676","OBIBPL_00675"
"Tpr protein A","","Tpr protein A","2","2","1","1","137","","","","1739","1796","1767","LIHGCB_00008","OBIBPL_00008"
"group_70","hypothetical protein","hypothetical protein","2","2","1","1","858","","","","155","155","155","LIHGCB_00773","OBIBPL_00773"
"Large ribosomal subunit protein uL1","","Large ribosomal subunit protein uL1","2","2","1","1","354","","","","680","680","680","LIHGCB_00243","OBIBPL_00245"
"group_701","hypothetical protein","hypothetical protein","2","2","1","1","875","","","","1619","1619","1619","LIHGCB_00790","OBIBPL_00790"
"BCCT family transporter","","BCCT family transporter","2","2","1","1","226","","","","1532","1532","1532","LIHGCB_00103","OBIBPL_00104"
"GTP cyclohydrolase 1 type 2-like protein","","GTP cyclohydrolase 1 type 2-like protein","2","2","1","1","65","","","","860","860","860","LIHGCB_00965","OBIBPL_00962"
"4Fe4S-binding SPASM domain-containing protein","","4Fe4S-binding SPASM domain-containing protein","2","2","1","1","398","","","","1679","1679","1679","LIHGCB_00292","OBIBPL_00294"
"Metallo-beta-lactamase domain-containing protein","","Metallo-beta-lactamase domain-containing protein","2","2","1","1","588","","","","968","968","968","LIHGCB_00486","OBIBPL_00483"
"sufB","","Fe-S cluster assembly protein SufB","2","2","1","1","703","","","","1439","1439","1439","LIHGCB_00611","OBIBPL_00608"
"Small ribosomal subunit protein uS9","","Small ribosomal subunit protein uS9","2","2","1","1","19","","","","389","389","389","LIHGCB_01013","OBIBPL_01010"
"group_708","hypothetical protein","hypothetical protein","2","2","1","1","658","","","","851","851","851","LIHGCB_00561","OBIBPL_00558"
"Glycine--tRNA ligase","","Glycine--tRNA ligase","2","2","1","1","759","","","","1475","1475","1475","LIHGCB_00669","OBIBPL_00668"
"group_71","hypothetical protein","hypothetical protein","2","2","1","1","871","","","","890","890","890","LIHGCB_00786","OBIBPL_00786"
"Phosphate acetyltransferase","","Phosphate acetyltransferase","2","2","1","1","213","","","","1010","1010","1010","LIHGCB_00090","OBIBPL_00090"
"group_711","hypothetical protein","hypothetical protein","2","2","1","1","589","","","","188","188","188","LIHGCB_00487","OBIBPL_00484"
"group_712","hypothetical protein","hypothetical protein","2","2","1","1","788","","","","1232","1232","1232","LIHGCB_00701","OBIBPL_00700"
"group_713","hypothetical protein","hypothetical protein","2","2","1","1","167","","","","521","521","521","LIHGCB_00044","OBIBPL_00044"
"group_714","hypothetical protein","hypothetical protein","2","2","1","1","601","","","","542","542","542","LIHGCB_00500","OBIBPL_00497"
"group_715","hypothetical protein","hypothetical protein","2","2","1","1","526","","","","614","614","614","LIHGCB_00424","OBIBPL_00421"
"Nicotinate phosphoribosyltransferase","","Nicotinate phosphoribosyltransferase","2","2","1","1","720","","","","1481","1481","1481","LIHGCB_00625","OBIBPL_00623"
"PNPLA domain-containing protein","","PNPLA domain-containing protein","2","2","1","1","9","","","","935","935","935","LIHGCB_01022","OBIBPL_01019"
"Large ribosomal subunit protein bL31","","Large ribosomal subunit protein bL31","2","2","1","1","371","","","","203","203","203","LIHGCB_00260","OBIBPL_00262"
"Large ribosomal subunit protein uL11","","Large ribosomal subunit protein uL11","2","2","1","1","353","","","","440","440","440","LIHGCB_00242","OBIBPL_00244"
"secD","","Protein translocase subunit SecD","2","2","1","1","429","","","","1751","1751","1751","LIHGCB_00411","OBIBPL_00408"
"greA","","Transcription elongation factor GreA","2","2","1","1","143","","","","2681","2681","2681","LIHGCB_00014","OBIBPL_00014"
"RRM domain-containing protein","","RRM domain-containing protein","2","2","1","1","482","","","","269","269","269","LIHGCB_00357","OBIBPL_00355"
"Uncharacterized protein TP_0910","","Uncharacterized protein TP_0910","2","2","1","1","982","","","","920","920","920","LIHGCB_00897","OBIBPL_00895"
"group_723","hypothetical protein","hypothetical protein","2","2","1","1","188","","","","383","383","383","LIHGCB_00065","OBIBPL_00065"
"flgG","","Flagellar basal-body rod protein FlgG","2","2","1","1","81","","","","794","794","794","LIHGCB_00949","OBIBPL_00946"
"50S ribosomal protein L33","","50S ribosomal protein L33","2","2","1","1","477","","","","170","170","170","LIHGCB_00362","OBIBPL_00360"
"group_726","hypothetical protein","hypothetical protein","2","2","1","1","842","","","","209","209","209","LIHGCB_00755","OBIBPL_00754"
"Deoxyribose-phosphate aldolase","","Deoxyribose-phosphate aldolase","2","2","1","1","380","","","","656","656","656","LIHGCB_00269","OBIBPL_00271"
"DUF4034 domain-containing protein","","DUF4034 domain-containing protein","2","2","1","1","374","","","","710","710","710","LIHGCB_00263","OBIBPL_00265"
"FAD:protein FMN transferase","","FAD:protein FMN transferase","2","2","1","1","877","","","","1004","1004","1004","LIHGCB_00792","OBIBPL_00792"
"Small ribosomal subunit protein uS2","","Small ribosomal subunit protein uS2","2","2","1","1","698","","","","875","875","875","LIHGCB_00605","OBIBPL_00602"
"ATP-dependent 6-phosphofructokinase","","ATP-dependent 6-phosphofructokinase","2","2","1","1","228","","","","1385","1385","1385","LIHGCB_00105","OBIBPL_00106"
"Methionine transport system ATP-binding protein","","Methionine transport system ATP-binding protein","2","2","1","1","241","","","","809","809","809","LIHGCB_00121","OBIBPL_00122"
"15 kDa lipoprotein","","15 kDa lipoprotein","2","2","1","1","291","","","","428","428","428","LIHGCB_00173","OBIBPL_00176"
"Thiamine ABC transporter, permease protein, putative","","Thiamine ABC transporter, permease protein, putative","2","2","1","1","263","","","","1742","1742","1742","LIHGCB_00143","OBIBPL_00145"
"lolA","","Outer membrane lipoprotein carrier protein LolA","2","2","1","1","505","","","","692","692","692","LIHGCB_00334","OBIBPL_00332"
"group_735","hypothetical protein","hypothetical protein","2","2","1","1","481","","","","107","107","107","LIHGCB_00358","OBIBPL_00356"
"Coproporphyrinogen dehydrogenase","","Coproporphyrinogen dehydrogenase","2","2","1","1","302","","","","1217","1217","1217","LIHGCB_00184","OBIBPL_00187"
"Membrane spanning protein, putative","","Membrane spanning protein, putative","2","2","1","1","953","","","","725","725","725","LIHGCB_00869","OBIBPL_00867"
"Aspartate--tRNA(Asp/Asn) ligase","","Aspartate--tRNA(Asp/Asn) ligase","2","2","1","1","57","","","","1769","1769","1769","LIHGCB_00973","OBIBPL_00970"
"DAACS family dicarboxylate/amino acid:sodium (Na+) or proton (H+) symporter","","DAACS family dicarboxylate/amino acid:sodium (Na+) or proton (H+) symporter","2","2","1","1","652","","","","1181","1181","1181","LIHGCB_00555","OBIBPL_00552"
"group_74","hypothetical protein","hypothetical protein","2","2","1","1","372","","","","650","650","650","LIHGCB_00261","OBIBPL_00263"
"Divergent PAP2 family protein","","Divergent PAP2 family protein","2","2","1","1","275","","","","491","491","491","LIHGCB_00156","OBIBPL_00159"
"Uncharacterized protein TP_0352","","Uncharacterized protein TP_0352","2","2","1","1","486","","","","257","257","257","LIHGCB_00353","OBIBPL_00351"
"Phosphoenolpyruvate carboxykinase [GTP]","","Phosphoenolpyruvate carboxykinase [GTP]","2","2","1","1","243","","","","1856","1856","1856","LIHGCB_00123","OBIBPL_00124"
"Uncharacterized protein TP_0484","","Uncharacterized protein TP_0484","2","2","1","1","583","","","","1922","1922","1922","LIHGCB_00479","OBIBPL_00476"
"mgtE","","Magnesium transporter MgtE","2","2","1","1","989","","","","1349","1349","1349","LIHGCB_00904","OBIBPL_00902"
"Phosphatase","","Phosphatase","2","2","1","1","648","","","","1088","1088","1088","LIHGCB_00550","OBIBPL_00547"
"group_746","hypothetical protein","hypothetical protein","2","2","1","1","664","","","","620","620","620","LIHGCB_00567","OBIBPL_00564"
"group_747","hypothetical protein","hypothetical protein","2","2","1","1","769","","","","602","602","602","LIHGCB_00680","OBIBPL_00679"
"khpA","","RNA-binding protein KhpA","2","2","1","1","978","","","","242","242","242","LIHGCB_00893","OBIBPL_00891"
"ybeY","","Endoribonuclease YbeY","2","2","1","1","739","","","","482","482","482","LIHGCB_00647","OBIBPL_00646"
"Uncharacterized protein TP_0855","","Uncharacterized protein TP_0855","2","2","1","1","931","","","","3383","3383","3383","LIHGCB_00847","OBIBPL_00846"
"pilZ","","PilZ domain-containing protein","2","2","1","1","205","","","","908","908","908","LIHGCB_00082","OBIBPL_00082"
"capD","","Capsular polysaccharide biosynthesis protein CapD","2","2","1","1","196","","","","1502","1502","1502","LIHGCB_00073","OBIBPL_00073"
"TPR repeat-containing protein TP_0095","","TPR repeat-containing protein TP_0095","2","2","1","1","214","","","","1946","1946","1946","LIHGCB_00091","OBIBPL_00091"
"Acyl carrier protein","","Acyl carrier protein","2","2","1","1","887","","","","236","236","236","LIHGCB_00803","OBIBPL_00802"
"Outer membrane protein Tpn50","","Outer membrane protein Tpn50","2","2","1","1","403","","","","1217","1217","1217","LIHGCB_00297","OBIBPL_00299"
"group_755","Cyclic nucleotide-binding domain-containing protein","Cyclic nucleotide-binding domain-containing protein","2","2","1","1","378","","","","659","659","659","LIHGCB_00267","OBIBPL_00269"
"group_756","hypothetical protein","hypothetical protein","2","2","1","1","87","","","","1436","1436","1436","LIHGCB_00943","OBIBPL_00940"
"group_757","hypothetical protein","hypothetical protein","2","2","1","1","816","","","","620","620","620","LIHGCB_00729","OBIBPL_00728"
"group_758","hypothetical protein","hypothetical protein","2","2","1","1","555","","","","350","350","350","LIHGCB_00452","OBIBPL_00449"
"Enolase","","Enolase","2","2","1","1","895","","","","1298","1298","1298","LIHGCB_00811","OBIBPL_00810"
"30S ribosomal protein S12","","30S ribosomal protein S12","2","2","1","1","359","","","","374","374","374","LIHGCB_00248","OBIBPL_00250"
"fliS","","Flagellar secretion chaperone FliS","2","2","1","1","99","","","","446","446","446","LIHGCB_00931","OBIBPL_00929"
"group_761","hypothetical protein","hypothetical protein","2","2","1","1","558","","","","1316","1316","1316","LIHGCB_00455","OBIBPL_00452"
"Flagellar protein","","Flagellar protein","2","2","1","1","804","","","","770","770","770","LIHGCB_00717","OBIBPL_00716"
"group_763","Tetratricopeptide repeat protein","Tetratricopeptide repeat protein","2","2","1","1","594","","","","944","944","944","LIHGCB_00493","OBIBPL_00490"
"group_764","hypothetical protein","hypothetical protein","2","2","1","1","866","","","","170","170","170","LIHGCB_00781","OBIBPL_00781"
"group_765","hypothetical protein","hypothetical protein","2","2","1","1","829","","","","326","326","326","LIHGCB_00742","OBIBPL_00741"
"Tpr protein B","","Tpr protein B","2","2","1","1","138","","","","1982","1982","1982","LIHGCB_00009","OBIBPL_00009"
"clpX","","ATP-dependent Clp protease ATP-binding subunit ClpX","2","2","1","1","605","","","","1247","1247","1247","LIHGCB_00507","OBIBPL_00504"
"Peptidyl-prolyl cis-trans isomerase","","Peptidyl-prolyl cis-trans isomerase","2","2","1","1","95","","","","647","647","647","LIHGCB_00935","OBIBPL_00933"
"dnaJ","","Chaperone protein DnaJ","2","2","1","1","333","","","","1202","1202","1202","LIHGCB_00215","OBIBPL_00218"
"Oligoendopeptidase, M3 family","","Oligoendopeptidase, M3 family","2","2","1","1","16","","","","1769","1769","1769","LIHGCB_01016","OBIBPL_01013"
"group_770","hypothetical protein","hypothetical protein","2","2","1","1","420","","","","362","362","362","LIHGCB_00314","OBIBPL_00315"
"Uncharacterized protein TP_0593","","Uncharacterized protein TP_0593","2","2","1","1","686","","","","1919","1919","1919","LIHGCB_00593","OBIBPL_00590"
"Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","2","2","1","1","936","","","","1907","1907","1907","LIHGCB_00852","OBIBPL_00850"
"group_773","hypothetical protein","hypothetical protein","2","2","1","1","949","","","","665","665","665","LIHGCB_00865","OBIBPL_00863"
"Phosphoenolpyruvate-protein phosphotransferase","","Phosphoenolpyruvate-protein phosphotransferase","2","2","1","1","671","","","","2057","2057","2057","LIHGCB_00574","OBIBPL_00571"
"Peptide chain release factor 2","","Peptide chain release factor 2","2","2","1","1","672","","","","1106","1106","1106","LIHGCB_00575","OBIBPL_00572"
"HEAT repeat domain-containing protein","","HEAT repeat domain-containing protein","2","2","1","1","955","","","","1355","1355","1355","LIHGCB_00871","OBIBPL_00869"
"Sugar ABC superfamily ATP binding cassette transporter, binding protein","","Sugar ABC superfamily ATP binding cassette transporter, binding protein","2","2","1","1","822","","","","1310","1310","1310","LIHGCB_00735","OBIBPL_00734"
"group_778","hypothetical protein","hypothetical protein","2","2","1","1","834","","","","671","671","671","LIHGCB_00747","OBIBPL_00746"
"K+ transport protein (NtpJ)","","K+ transport protein (NtpJ)","2","2","1","1","260","","","","1718","1718","1718","LIHGCB_00140","OBIBPL_00142"
"group_78","hypothetical protein","hypothetical protein","2","2","1","1","436","","","","452","452","452","LIHGCB_00404","OBIBPL_00401"
"group_780","hypothetical protein","hypothetical protein","2","2","1","1","94","","","","695","695","695","LIHGCB_00936","OBIBPL_00934"
"ABC superfamily ATP binding cassette transporter, ABC protein","","ABC superfamily ATP binding cassette transporter, ABC protein","2","2","1","1","702","","","","779","779","779","LIHGCB_00610","OBIBPL_00607"
"group_782","hypothetical protein","hypothetical protein","2","2","1","1","705","","","","1214","1214","1214","LIHGCB_00613","OBIBPL_00610"
"ABC transporter domain-containing protein","","ABC transporter domain-containing protein","2","2","1","1","262","","","","662","662","662","LIHGCB_00142","OBIBPL_00144"
"Uridylate kinase","","Uridylate kinase","2","2","1","1","218","","","","755","755","755","LIHGCB_00095","OBIBPL_00095"
"DUF368 domain-containing protein","","DUF368 domain-containing protein","2","2","1","1","421","","","","1013","1013","1013","LIHGCB_00315","OBIBPL_00316"
"yrrB","","TPR repeat-containing protein YrrB","2","2","1","1","988","","","","1334","1334","1334","LIHGCB_00903","OBIBPL_00901"
"group_787","lysM","LysM domain-containing protein","2","2","1","1","940","","","","1553","1553","1553","LIHGCB_00856","OBIBPL_00854"
"Small ribosomal subunit protein uS3","","Small ribosomal subunit protein uS3","2","2","1","1","311","","","","743","743","743","LIHGCB_00193","OBIBPL_00196"
"group_789","hypothetical protein","hypothetical protein","2","2","1","1","947","","","","275","275","275","LIHGCB_00863","OBIBPL_00861"
"group_79","hypothetical protein","hypothetical protein","2","2","1","1","480","","","","659","659","659","LIHGCB_00359","OBIBPL_00357"
"group_790","hypothetical protein","hypothetical protein","2","2","1","1","281","","","","1028","1028","1028","LIHGCB_00162","OBIBPL_00165"
"tRNA pseudouridine synthase B","","tRNA pseudouridine synthase B","2","2","1","1","962","","","","1085","1085","1085","LIHGCB_00878","OBIBPL_00876"
"group_792","hypothetical protein","hypothetical protein","2","2","1","1","168","","","","431","431","431","LIHGCB_00045","OBIBPL_00045"
"group_793","hypothetical protein","hypothetical protein","2","2","1","1","490","","","","1115","1115","1115","LIHGCB_00349","OBIBPL_00347"
"Phosphoglycerate kinase","","Phosphoglycerate kinase","2","2","1","1","635","","","","1256","1256","1256","LIHGCB_00537","OBIBPL_00534"
"Signal recognition particle protein","","Signal recognition particle protein","2","2","1","1","519","","","","1361","1361","1361","LIHGCB_00417","OBIBPL_00414"
"group_796","hypothetical protein","hypothetical protein","2","2","1","1","338","","","","797","797","797","LIHGCB_00220","OBIBPL_00223"
"group_797","hypothetical protein","hypothetical protein","2","2","1","1","117","","","","1358","1358","1358","LIHGCB_00910","OBIBPL_00908"
"Adenine phosphoribosyltransferase","","Adenine phosphoribosyltransferase","2","2","1","1","3","","","","542","542","542","LIHGCB_01028","OBIBPL_01025"
"nusG","","Transcription termination/antitermination protein NusG","2","2","1","1","352","","","","557","557","557","LIHGCB_00241","OBIBPL_00243"
"group_80","hypothetical protein","hypothetical protein","2","2","1","1","182","","","","281","281","281","LIHGCB_00059","OBIBPL_00059"
"lysM","","LysM domain-containing protein","2","2","1","1","791","","","","1040","1040","1040","LIHGCB_00704","OBIBPL_00703"
"group_801","hypothetical protein","hypothetical protein","2","2","1","1","96","","","","419","419","419","LIHGCB_00934","OBIBPL_00932"
"group_802","hypothetical protein","hypothetical protein","2","2","1","1","855","","","","782","782","782","LIHGCB_00768","OBIBPL_00767"
"Holo-[acyl-carrier-protein] synthase","","Holo-[acyl-carrier-protein] synthase","2","2","1","1","904","","","","377","377","377","LIHGCB_00820","OBIBPL_00819"
"group_804","hypothetical protein","hypothetical protein","2","2","1","1","840","","","","959","959","959","LIHGCB_00753","OBIBPL_00752"
"Exodeoxyribonuclease III","","Exodeoxyribonuclease III","2","2","1","1","246","","","","794","794","794","LIHGCB_00126","OBIBPL_00127"
"group_806","dnaJ","Chaperone DnaJ","2","2","1","1","217","","","","656","656","656","LIHGCB_00094","OBIBPL_00094"
"group_807","hypothetical protein","hypothetical protein","2","2","1","1","749","","","","512","512","512","LIHGCB_00657","OBIBPL_00656"
"group_808","hypothetical protein","hypothetical protein","2","2","1","1","376","","","","1280","1280","1280","LIHGCB_00265","OBIBPL_00267"
"UPF0056 inner membrane protein","","UPF0056 inner membrane protein","2","2","1","1","54","","","","599","599","599","LIHGCB_00976","OBIBPL_00973"
"group_81","lolD","Lipoprotein-releasing system ATP-binding protein LolD","2","2","1","1","77","","","","707","707","707","LIHGCB_00953","OBIBPL_00950"
"Uncharacterized protein TP_0226","","Uncharacterized protein TP_0226","2","2","1","1","343","","","","686","686","686","LIHGCB_00230","OBIBPL_00232"
"group_811","hypothetical protein","hypothetical protein","2","2","1","1","175","","","","236","236","236","LIHGCB_00052","OBIBPL_00052"
"DUF4015 domain-containing protein","","DUF4015 domain-containing protein","2","2","1","1","202","","","","1994","1994","1994","LIHGCB_00079","OBIBPL_00079"
"Spermidine/putrescine ABC transporter permease","","Spermidine/putrescine ABC transporter permease","2","2","1","1","742","","","","899","899","899","LIHGCB_00650","OBIBPL_00649"
"group_814","hypothetical protein","hypothetical protein","2","2","1","1","600","","","","896","896","896","LIHGCB_00499","OBIBPL_00496"
"putative transcriptional regulatory protein DET0444","","putative transcriptional regulatory protein DET0444","2","2","1","1","574","","","","737","737","737","LIHGCB_00470","OBIBPL_00467"
"group_816","hypothetical protein","hypothetical protein","2","2","1","1","562","","","","620","620","620","LIHGCB_00459","OBIBPL_00456"
"DNA gyrase subunit B","","DNA gyrase subunit B","2","2","1","1","37","","","","1913","1913","1913","LIHGCB_00995","OBIBPL_00992"
"ftsZ","","Cell division protein FtsZ","2","2","1","1","449","","","","1253","1253","1253","LIHGCB_00391","OBIBPL_00388"
"group_819","hypothetical protein","hypothetical protein","2","2","1","1","534","","","","533","533","533","LIHGCB_00432","OBIBPL_00429"
"radA","","DNA repair protein RadA","2","2","1","1","21","","","","1367","1367","1367","LIHGCB_01011","OBIBPL_01008"
"Uncharacterized protein TP_0021","","Uncharacterized protein TP_0021","2","2","1","1","145","","","","2390","2390","2390","LIHGCB_00022","OBIBPL_00022"
"group_821","hypothetical protein","hypothetical protein","2","2","1","1","669","","","","1082","1082","1082","LIHGCB_00572","OBIBPL_00569"
"Motility protein B","","Motility protein B","2","2","1","1","809","","","","716","716","716","LIHGCB_00722","OBIBPL_00721"
"ABC-type uncharacterized transport system domain-containing protein","","ABC-type uncharacterized transport system domain-containing protein","2","2","1","1","952","","","","1448","1448","1448","LIHGCB_00868","OBIBPL_00866"
"RNA polymerase sigma factor","","RNA polymerase sigma factor","2","2","1","1","794","","","","788","788","788","LIHGCB_00707","OBIBPL_00706"
"group_825","hypothetical protein","hypothetical protein","2","2","1","1","938","","","","767","767","767","LIHGCB_00854","OBIBPL_00852"
"group_826","hypothetical protein","hypothetical protein","2","2","1","1","159","","","","995","995","995","LIHGCB_00036","OBIBPL_00036"
"group_827","hypothetical protein","hypothetical protein","2","2","1","1","55","","","","383","383","383","LIHGCB_00975","OBIBPL_00972"
"Fibronectin type-III domain-containing protein","","Fibronectin type-III domain-containing protein","2","2","1","1","379","","","","1607","1607","1607","LIHGCB_00268","OBIBPL_00270"
"ATP-dependent Clp protease proteolytic subunit 2","","ATP-dependent Clp protease proteolytic subunit 2","2","2","1","1","1","","","","599","599","599","LIHGCB_01030","OBIBPL_01027"
"group_83","hypothetical protein","hypothetical protein","2","2","1","1","688","","","","635","635","635","LIHGCB_00595","OBIBPL_00592"
"Single-stranded DNA-binding protein","","Single-stranded DNA-binding protein","2","2","1","1","181","","","","530","530","530","LIHGCB_00058","OBIBPL_00058"
"Ribonuclease H","","Ribonuclease H","2","2","1","1","485","","","","509","509","509","LIHGCB_00354","OBIBPL_00352"
"Endolytic murein transglycosylase","","Endolytic murein transglycosylase","2","2","1","1","590","","","","1055","1055","1055","LIHGCB_00488","OBIBPL_00485"
"group_833","hypothetical protein","hypothetical protein","2","2","1","1","964","","","","2696","2696","2696","LIHGCB_00880","OBIBPL_00878"
"scpB","","SMC-Scp complex subunit ScpB","2","2","1","1","560","","","","578","578","578","LIHGCB_00457","OBIBPL_00454"
"Large ribosomal subunit protein bL27","","Large ribosomal subunit protein bL27","2","2","1","1","828","","","","263","263","263","LIHGCB_00741","OBIBPL_00740"
"lemA","","LemA family protein","2","2","1","1","668","","","","614","614","614","LIHGCB_00571","OBIBPL_00568"
"group_837","hypothetical protein","hypothetical protein","2","2","1","1","584","","","","1844","1844","1844","LIHGCB_00480","OBIBPL_00477"
"Glycerol-3-phosphate dehydrogenase [NAD(P)+]","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","2","2","1","1","34","","","","1070","1070","1070","LIHGCB_00998","OBIBPL_00995"
"Peptidase M16C associated domain-containing protein","","Peptidase M16C associated domain-containing protein","2","2","1","1","148","","","","3071","3071","3071","LIHGCB_00025","OBIBPL_00025"
"Putative pyridoxine kinase","","Putative pyridoxine kinase","2","2","1","1","235","","","","809","809","809","LIHGCB_00115","OBIBPL_00116"
